year,winners,category
1954,From Here to Eternity,"Best Writing, Screenplay"
1954,Titanic,"Best Writing, Story and Screenplay"
1955,Marlon Brando,Best Actor in a Leading Role
1955,Edmond O'Brien,Best Actor in a Supporting Role
1955,Grace Kelly,Best Actress in a Leading Role
1955,Eva Marie Saint,Best Actress in a Supporting Role
1955,On the Waterfront,"Best Art Direction-Set Decoration, Black-and-White"
1955,"20,000 Leagues Under the Sea","Best Art Direction-Set Decoration, Color"
1955,On the Waterfront,"Best Cinematography, Black-and-White"
1955,Three Coins in the Fountain,"Best Cinematography, Color"
1955,Sabrina,"Best Costume Design, Black-and-White"
1955,Gate of Hell,"Best Costume Design, Color"
1955,Elia Kazan,Best Director
1955,The Vanishing Prairie,"Best Documentary, Features"
1955,Thursday's Children,"Best Documentary, Short Subjects"
1955,"20,000 Leagues Under the Sea","Best Effects, Special Effects"
1955,On the Waterfront,Best Film Editing
1955,Three Coins in the Fountain,"Best Music, Original Song"
1955,The High and the Mighty,"Best Music, Scoring of a Dramatic or Comedy Picture"
1955,Seven Brides for Seven Brothers,"Best Music, Scoring of a Musical Picture"
1955,On the Waterfront,Best Picture
1955,When Magoo Flew,"Best Short Subject, Cartoons"
1955,This Mechanical Age,"Best Short Subject, One-reel"
1955,A Time Out of War,"Best Short Subject, Two-reel"
1955,The Glenn Miller Story,"Best Sound, Recording"
1955,Broken Lance,"Best Writing, Motion Picture Story"
1955,The Country Girl,"Best Writing, Screenplay"
1955,On the Waterfront,"Best Writing, Story and Screenplay"
1956,Ernest Borgnine,Best Actor in a Leading Role
1956,Jack Lemmon,Best Actor in a Supporting Role
1956,Anna Magnani,Best Actress in a Leading Role
1956,Jo Van Fleet,Best Actress in a Supporting Role
1956,The Rose Tattoo,"Best Art Direction-Set Decoration, Black-and-White"
1956,Picnic,"Best Art Direction-Set Decoration, Color"
1956,The Rose Tattoo,"Best Cinematography, Black-and-White"
1956,To Catch a Thief,"Best Cinematography, Color"
1956,I'll Cry Tomorrow,"Best Costume Design, Black-and-White"
1956,Love Is a Many-Splendored Thing,"Best Costume Design, Color"
1956,Delbert Mann,Best Director
1956,The Unconquered,"Best Documentary, Features"
1956,Men Against the Arctic,"Best Documentary, Short Subjects"
1956,The Bridges at Toko-Ri,"Best Effects, Special Effects"
1956,Picnic,Best Film Editing
1956,Love Is a Many-Splendored Thing,"Best Music, Original Song"
1956,Love Is a Many-Splendored Thing,"Best Music, Scoring of a Dramatic or Comedy Picture"
